Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1025,417,29,,2,0,0,425,7
3/13/2020,1962,937,61,,2,0,0,971,14
3/14/2020,2861,899,73,,2,0,0,920,15
3/15/2020,3888,1027,68,,2,0,0,1057,27
3/16/2020,6029,2141,150,,2,0,0,2217,18
3/17/2020,8706,2677,249,,2,0,0,2762,28
3/18/2020,11684,2978,259,,2,0,0,3069,157
3/19/2020,14582,2898,278,,2,0,0,2996,142
3/20/2020,18221,3639,388,,2,0,0,3751,124
3/21/2020,20750,2529,321,,2,0,0,2603,168
3/22/2020,22644,1894,286,,2,0,0,1943,159
3/23/2020,26426,3782,609,,2,0,0,3895,202
3/24/2020,30415,3989,718,,2,0,0,4114,207
3/25/2020,34513,4098,746,,2,0,0,4215,269
3/26/2020,38926,4413,936,,2,0,0,4538,299
3/27/2020,43286,4360,943,,2,0,0,4473,342
3/28/2020,46085,2799,654,,2,0,0,2870,332
3/29/2020,48153,2068,523,,2,0,0,2155,318
3/30/2020,53197,5044,1238,,2,0,0,5165,416
3/31/2020,58431,5234,1266,,2,0,0,5459,471
4/1/2020,63351,4920,1337,,2,0,0,5113,463
4/2/2020,68561,5210,1278,,5,3,1,5407,597
4/3/2020,74285,5724,1480,,5,0,0,5938,629
4/4/2020,78258,3973,1163,,9,4,1,4054,690
4/5/2020,81661,3403,976,,9,0,0,3563,539
4/6/2020,88282,6621,1932,,13,4,0,6808,783
4/7/2020,94816,6534,2022,,17,4,0,6660,967
4/8/2020,101584,6768,1864,,19,2,0,6977,983
4/9/2020,107992,6408,1978,,41,22,2,6750,1041
4/10/2020,115557,7565,2054,,42,1,1,7791,1061
4/11/2020,119907,4350,1297,,43,1,0,4498,808
4/12/2020,122922,3015,929,,46,3,2,3091,711
4/13/2020,129169,6247,2001,,54,8,0,6345,1135
4/14/2020,138888,9719,2871,,62,8,2,9848,1497
4/15/2020,148773,9885,2599,,72,10,2,10188,1465
4/16/2020,157652,8879,2388,,93,21,0,8978,1728
4/17/2020,168701,11049,3006,,173,80,5,11427,1778
4/18/2020,174704,6003,1481,,181,8,3,6336,1143
4/19/2020,179278,4574,1089,,191,10,1,4657,939
4/20/2020,190000,10722,2692,,255,64,6,11034,1930
4/21/2020,199416,9416,2190,,331,76,11,9688,2136
4/22/2020,211847,12431,2715,,478,147,17,12729,2669
4/23/2020,222602,10755,2408,,951,473,31,10869,2557
4/24/2020,234933,12331,2283,,1849,898,82,12381,2522
4/25/2020,243121,8188,1496,,2336,487,25,8420,1846
4/26/2020,247992,4871,847,,2791,455,36,4792,1416
4/27/2020,258933,10941,2130,,3933,1142,79,10847,2948
4/28/2020,271167,12234,2107,,5355,1422,83,12272,3003
4/29/2020,283740,12573,2190,,7060,1705,105,12573,2941
4/30/2020,297452,13712,2048,,8438,1378,116,13722,3152
5/1/2020,311512,14060,2084,,10215,1777,130,13993,3298
5/2/2020,318742,7230,1031,,10809,594,57,7311,1886
5/3/2020,323822,5080,735,,11213,404,42,5033,1428
5/4/2020,335873,12051,1881,,13233,2020,162,11912,3532
5/5/2020,348463,12590,1737,,15210,1977,157,12433,3582
5/6/2020,361724,13261,1700,,17189,1979,184,13068,3617
5/7/2020,375171,13447,1683,,19256,2067,173,13421,3672
5/8/2020,388425,13254,1460,,21140,1884,136,13211,3732
5/9/2020,394239,5814,684,,21768,628,38,5709,1979
5/10/2020,397393,3154,386,,22122,354,77,3077,1481
5/11/2020,409184,11791,1311,,23965,1843,162,11610,4029
