Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1964,938,61,,2,0,0,971,14
3/14/2020,2863,899,73,,2,0,0,920,15
3/15/2020,3892,1029,68,,2,0,0,1057,27
3/16/2020,6035,2143,150,,2,0,0,2217,18
3/17/2020,8714,2679,249,,2,0,0,2762,28
3/18/2020,11693,2979,259,,2,0,0,3069,157
3/19/2020,14594,2901,278,,2,0,0,2996,142
3/20/2020,18235,3641,388,,2,0,0,3752,124
3/21/2020,20767,2532,321,,2,0,0,2603,168
3/22/2020,22662,1895,286,,2,0,0,1944,158
3/23/2020,26446,3784,609,,2,0,0,3895,202
3/24/2020,30436,3990,718,,2,0,0,4114,207
3/25/2020,34536,4100,746,,2,0,0,4215,269
3/26/2020,38952,4416,936,,2,0,0,4538,299
3/27/2020,43315,4363,943,,2,0,0,4473,342
3/28/2020,46114,2799,654,,2,0,0,2870,332
3/29/2020,48182,2068,523,,2,0,0,2155,318
3/30/2020,53230,5048,1237,,2,0,0,5167,416
3/31/2020,58466,5236,1266,,2,0,0,5459,472
4/1/2020,63387,4921,1337,,2,0,0,5113,463
4/2/2020,68601,5214,1278,,5,3,1,5408,597
4/3/2020,74332,5731,1480,,5,0,0,5944,629
4/4/2020,78314,3982,1163,,9,4,1,4059,690
4/5/2020,81730,3416,977,,9,0,0,3573,539
4/6/2020,88384,6654,1932,,13,4,0,6832,781
4/7/2020,94937,6553,2022,,17,4,0,6670,964
4/8/2020,101733,6796,1863,,19,2,0,6997,970
4/9/2020,108161,6428,1978,,41,22,2,6761,1035
4/10/2020,115737,7576,2054,,42,1,1,7796,1056
4/11/2020,120095,4358,1297,,43,1,0,4501,805
4/12/2020,123118,3023,929,,46,3,2,3095,707
4/13/2020,129374,6256,2002,,54,8,0,6352,1130
4/14/2020,139108,9734,2871,,62,8,2,9858,1487
4/15/2020,149015,9907,2599,,72,10,2,10202,1456
4/16/2020,157920,8905,2389,,93,21,0,8993,1713
4/17/2020,169001,11081,3007,,173,80,5,11450,1760
4/18/2020,175030,6029,1481,,181,8,3,6356,1125
4/19/2020,179614,4584,1090,,191,10,1,4665,931
4/20/2020,190381,10767,2694,,255,64,6,11069,1903
4/21/2020,199831,9450,2194,,331,76,11,9711,2114
4/22/2020,212295,12464,2716,,478,147,17,12752,2647
4/23/2020,223075,10780,2407,,952,474,31,10885,2540
4/24/2020,235433,12358,2283,,1850,898,82,12400,2504
4/25/2020,243664,8231,1496,,2337,487,25,8434,1832
4/26/2020,248547,4883,847,,2792,455,36,4798,1409
4/27/2020,259509,10962,2130,,3935,1143,79,10864,2932
4/28/2020,271766,12257,2107,,5358,1423,83,12283,2993
4/29/2020,284391,12625,2190,,7067,1709,105,12596,2922
4/30/2020,298132,13741,2048,,8445,1378,116,13746,3133
5/1/2020,312220,14088,2084,,10222,1777,130,14010,3283
5/2/2020,319478,7258,1031,,10816,594,57,7331,1866
5/3/2020,324566,5088,735,,11220,404,42,5039,1423
5/4/2020,336642,12076,1881,,13240,2020,162,11929,3515
5/5/2020,349270,12628,1738,,15217,1977,157,12454,3563
5/6/2020,362562,13292,1700,,17197,1980,184,13081,3604
5/7/2020,376031,13469,1683,,19265,2068,173,13439,3654
5/8/2020,389329,13298,1460,,21151,1886,136,13246,3697
5/9/2020,395153,5824,683,,21780,629,38,5715,1973
5/10/2020,398313,3160,386,,22134,354,77,3083,1475
5/11/2020,410140,11827,1311,,23977,1843,162,11629,4012
