Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,1,1,0,0,0
1/25/2020,2,0,0,,1,0,0,0,0
1/26/2020,2,0,0,,1,0,0,0,0
1/27/2020,3,1,0,,1,0,0,1,0
1/28/2020,3,0,0,,1,0,0,0,0
1/29/2020,4,1,1,,1,0,0,1,0
1/30/2020,4,0,0,,1,0,0,0,0
1/31/2020,4,0,0,,1,0,0,0,0
2/1/2020,4,0,0,,1,0,0,0,0
2/2/2020,4,0,0,,1,0,0,0,0
2/3/2020,7,3,0,,1,0,0,3,0
2/4/2020,9,2,0,,1,0,0,2,0
2/5/2020,9,0,0,,1,0,0,0,0
2/6/2020,10,1,1,,1,0,0,1,0
2/7/2020,10,0,0,,1,0,0,0,0
2/8/2020,11,1,0,,1,0,0,1,0
2/9/2020,11,0,0,,1,0,0,0,0
2/10/2020,11,0,0,,1,0,0,0,1
2/11/2020,11,0,0,,1,0,0,0,0
2/12/2020,11,0,0,,1,0,0,1,0
2/13/2020,11,0,0,,1,0,0,0,0
2/14/2020,11,0,0,,1,0,0,0,0
2/15/2020,11,0,0,,1,0,0,0,0
2/16/2020,11,0,0,,1,0,0,0,0
2/17/2020,11,0,0,,1,0,0,0,0
2/18/2020,11,0,0,,1,0,0,0,0
2/19/2020,11,0,0,,1,0,0,0,0
2/20/2020,11,0,0,,1,0,0,0,1
2/21/2020,11,0,0,,1,0,0,0,0
2/22/2020,11,0,0,,1,0,0,0,0
2/23/2020,11,0,0,,1,0,0,0,0
2/24/2020,11,0,0,,1,0,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,612,174,22,,2,0,0,176,6
3/12/2020,1029,417,29,,2,0,0,425,7
3/13/2020,1969,940,61,,2,0,0,972,14
3/14/2020,2869,900,73,,2,0,0,920,15
3/15/2020,3900,1031,68,,2,0,0,1058,26
3/16/2020,6046,2146,150,,2,0,0,2218,18
3/17/2020,8730,2684,249,,2,0,0,2763,28
3/18/2020,11719,2989,259,,2,0,0,3075,156
3/19/2020,14624,2905,278,,2,0,0,2999,142
3/20/2020,18273,3649,388,,2,0,0,3749,123
3/21/2020,20807,2534,321,,2,0,0,2603,168
3/22/2020,22704,1897,286,,2,0,0,1944,158
3/23/2020,26494,3790,609,,2,0,0,3894,202
3/24/2020,30496,4002,719,,2,0,0,4116,207
3/25/2020,34602,4106,746,,2,0,0,4217,269
3/26/2020,39027,4425,936,,2,0,0,4540,298
3/27/2020,43404,4377,943,,2,0,0,4475,342
3/28/2020,46210,2806,655,,2,0,0,2871,331
3/29/2020,48284,2074,524,,2,0,0,2156,318
3/30/2020,53349,5065,1238,,2,0,0,5174,416
3/31/2020,58588,5239,1265,,2,0,0,5458,471
4/1/2020,63519,4931,1338,,2,0,0,5113,462
4/2/2020,68745,5226,1279,,5,3,1,5412,597
4/3/2020,74508,5763,1481,,5,0,0,5963,626
4/4/2020,78501,3993,1163,,9,4,1,4064,689
4/5/2020,81928,3427,976,,9,0,0,3575,538
4/6/2020,88604,6676,1932,,13,4,0,6843,775
4/7/2020,95190,6586,2024,,17,4,0,6688,951
4/8/2020,102005,6815,1868,,19,2,0,7014,960
4/9/2020,108462,6457,1982,,41,22,2,6780,1023
4/10/2020,116081,7619,2055,,41,0,0,7823,1033
4/11/2020,120467,4386,1297,,42,1,0,4515,794
4/12/2020,123565,3098,931,,45,3,2,3162,692
4/13/2020,129914,6349,2004,,53,8,0,6438,1099
4/14/2020,139695,9781,2875,,62,9,2,9886,1465
4/15/2020,149663,9968,2601,,72,10,2,10230,1442
4/16/2020,158605,8942,2389,,93,21,0,9004,1696
4/17/2020,169749,11144,3010,,173,80,5,11472,1741
4/18/2020,175815,6066,1482,,181,8,3,6374,1107
4/19/2020,180423,4608,1091,,191,10,1,4675,921
4/20/2020,191265,10842,2699,,255,64,6,11102,1875
4/21/2020,200765,9500,2199,,331,76,11,9726,2100
4/22/2020,213311,12546,2718,,479,148,17,12796,2601
4/23/2020,224165,10854,2417,,954,475,31,10913,2513
4/24/2020,236535,12370,2282,,1855,901,82,12378,2483
4/25/2020,244822,8287,1498,,2342,487,25,8445,1818
4/26/2020,249722,4900,848,,2798,456,37,4812,1396
4/27/2020,260737,11015,2128,,3942,1144,79,10892,2898
4/28/2020,273052,12315,2108,,5367,1425,83,12307,2970
4/29/2020,285728,12676,2186,,7077,1710,105,12618,2895
4/30/2020,299553,13825,2049,,8455,1378,116,13805,3080
5/1/2020,313737,14184,2084,,10231,1776,129,14079,3220
5/2/2020,321052,7315,1037,,10826,595,57,7359,1838
5/3/2020,326171,5119,735,,11230,404,42,5064,1399
5/4/2020,338362,12191,1888,,13215,1985,161,12019,3427
5/5/2020,351084,12722,1742,,15158,1943,157,12529,3492
5/6/2020,364471,13387,1711,,17090,1932,184,13146,3541
5/7/2020,378038,13567,1692,,19139,2049,173,13528,3561
5/8/2020,391458,13420,1464,,20997,1858,136,13293,3639
5/9/2020,397308,5850,685,,21621,624,37,5733,1952
5/10/2020,400483,3175,386,,21973,352,77,3100,1459
5/11/2020,412395,11912,1317,,23787,1814,162,11689,3957
