Date of Death,New Deaths,Running Total
3/18/2020,2,2
3/19/2020,1,3
3/20/2020,2,5
3/21/2020,2,7
3/22/2020,4,11
3/23/2020,6,17
3/24/2020,9,26
3/25/2020,7,33
3/26/2020,9,42
3/27/2020,15,57
3/28/2020,15,72
3/29/2020,25,97
3/30/2020,28,125
3/31/2020,28,153
4/1/2020,36,189
4/2/2020,42,231
4/3/2020,36,267
4/4/2020,37,304
4/5/2020,68,372
4/6/2020,80,452
4/7/2020,71,523
4/8/2020,100,623
4/9/2020,112,735
4/10/2020,107,842
4/11/2020,120,962
4/12/2020,113,1075
4/13/2020,162,1237
4/14/2020,121,1358
4/15/2020,175,1533
4/16/2020,173,1706
4/17/2020,170,1876
4/18/2020,167,2043
4/19/2020,174,2217
4/20/2020,171,2388
4/21/2020,160,2548
4/22/2020,152,2700
4/23/2020,189,2889
4/24/2020,195,3084
4/25/2020,148,3232
4/26/2020,153,3385
4/27/2020,159,3544
4/28/2020,143,3687
4/29/2020,160,3847
4/30/2020,140,3987
5/1/2020,176,4163
5/2/2020,139,4302
5/3/2020,137,4439
5/4/2020,132,4571
5/5/2020,136,4707
5/6/2020,135,4842
5/7/2020,129,4971
5/8/2020,108,5079
5/9/2020,104,5183
5/10/2020,121,5304
5/11/2020,122,5426
5/12/2020,111,5537
5/13/2020,110,5647
5/14/2020,94,5741
5/15/2020,112,5853
5/16/2020,85,5938
5/17/2020,77,6015
5/18/2020,88,6103
5/19/2020,67,6170
5/20/2020,71,6241
5/21/2020,43,6284
