Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New
3/10/2020,438,105,14,,2,0,0
3/11/2020,612,174,22,,2,0,0
3/12/2020,1029,417,29,,2,0,0
3/13/2020,1969,940,61,,2,0,0
3/14/2020,2869,900,73,,2,0,0
3/15/2020,3900,1031,68,,2,0,0
3/16/2020,6047,2147,150,,2,0,0
3/17/2020,8731,2684,249,,2,0,0
3/18/2020,11720,2989,259,,2,0,0
3/19/2020,14625,2905,278,,2,0,0
3/20/2020,18274,3649,388,,2,0,0
3/21/2020,20809,2535,321,,2,0,0
3/22/2020,22706,1897,286,,2,0,0
3/23/2020,26496,3790,609,,2,0,0
3/24/2020,30498,4002,719,,2,0,0
3/25/2020,34604,4106,746,,2,0,0
3/26/2020,39029,4425,936,,2,0,0
3/27/2020,43406,4377,943,,2,0,0
3/28/2020,46212,2806,655,,2,0,0
3/29/2020,48286,2074,524,,2,0,0
3/30/2020,53351,5065,1238,,2,0,0
3/31/2020,58590,5239,1265,,2,0,0
4/1/2020,63521,4931,1338,,2,0,0
4/2/2020,68747,5226,1279,,5,3,1
4/3/2020,74510,5763,1481,,5,0,0
4/4/2020,78503,3993,1163,,9,4,1
4/5/2020,81930,3427,976,,9,0,0
4/6/2020,88607,6677,1932,,13,4,0
4/7/2020,95195,6588,2024,,17,4,0
4/8/2020,102011,6816,1868,,19,2,0
4/9/2020,108470,6459,1983,,41,22,2
4/10/2020,116090,7620,2055,,41,0,0
4/11/2020,120476,4386,1297,,42,1,0
4/12/2020,123575,3099,931,,45,3,2
4/13/2020,129925,6350,2004,,53,8,0
4/14/2020,139706,9781,2875,,62,9,2
4/15/2020,149675,9969,2601,,72,10,2
4/16/2020,158618,8943,2389,,93,21,0
4/17/2020,169764,11146,3010,,173,80,5
4/18/2020,175833,6069,1482,,181,8,3
4/19/2020,180442,4609,1091,,191,10,1
4/20/2020,191286,10844,2699,,255,64,6
4/21/2020,200786,9500,2199,,331,76,11
4/22/2020,213334,12548,2718,,479,148,17
4/23/2020,224191,10857,2417,,954,475,31
4/24/2020,236562,12371,2282,,1855,901,82
4/25/2020,244849,8287,1498,,2342,487,25
4/26/2020,249749,4900,848,,2798,456,37
4/27/2020,260765,11016,2128,,3942,1144,79
4/28/2020,273081,12316,2108,,5367,1425,83
4/29/2020,285758,12677,2186,,7077,1710,105
4/30/2020,299588,13830,2049,,8455,1378,116
5/1/2020,313774,14186,2084,,10231,1776,129
5/2/2020,321087,7313,1037,,10826,595,57
5/3/2020,326206,5119,735,,11230,404,42
5/4/2020,338398,12192,1888,,13215,1985,161
5/5/2020,351122,12724,1742,,15158,1943,157
5/6/2020,364509,13387,1711,,17090,1932,184
5/7/2020,378080,13571,1692,,19139,2049,173
5/8/2020,391501,13421,1464,,20997,1858,136
5/9/2020,397351,5850,685,,21622,625,37
5/10/2020,400526,3175,386,,21974,352,77
5/11/2020,412441,11915,1317,,23788,1814,162
5/12/2020,425824,13383,1458,,25641,1853,148
5/13/2020,439907,14083,1330,,27353,1712,178
5/14/2020,453459,13552,1323,,28959,1606,165
5/15/2020,467307,13848,1111,,30555,1596,142
5/16/2020,474463,7156,654,,31085,530,51
5/17/2020,478793,4330,372,115,31441,356,54
5/18/2020,492272,13479,1326,1,33031,1590,137
5/19/2020,504754,12482,1094,0,34708,1677,164
5/20/2020,517675,12921,1031,0,36533,1825,149
5/21/2020,529617,11942,994,0,38164,1631,191
5/22/2020,540734,11117,875,0,39763,1599,158
5/23/2020,545725,4991,393,0,40176,413,41
5/24/2020,549828,4103,304,0,40484,308,41
5/25/2020,552951,3123,200,0,40810,326,49
5/26/2020,564263,11312,886,0,42289,1479,129
5/27/2020,574549,10286,713,0,43708,1419,153
5/28/2020,584018,9469,654,0,44970,1262,176
5/29/2020,594169,10151,535,0,46257,1287,138
5/30/2020,599983,5814,275,0,46516,259,34
5/31/2020,603712,3729,165,0,46698,182,37
6/1/2020,613281,9569,517,0,47813,1115,164
6/2/2020,622790,9509,451,0,48879,1066,88
6/3/2020,632379,9589,476,0,49987,1108,126
6/4/2020,641064,8685,396,0,51008,1021,91
6/5/2020,649632,8568,344,0,52190,1182,149
6/6/2020,654227,4595,150,0,52467,277,32
6/7/2020,657779,3552,151,0,52638,171,24
6/8/2020,668550,10771,365,0,53610,972,101
6/9/2020,679568,11018,351,0,54739,1129,109
6/10/2020,689815,10247,257,0,55898,1159,135
6/11/2020,700148,10333,230,0,57081,1183,105
6/12/2020,710228,10080,251,0,58265,1184,82
6/13/2020,715069,4841,98,0,58479,214,21
6/14/2020,718828,3759,78,0,58649,170,25
6/15/2020,729125,10297,244,0,59759,1110,99
6/16/2020,739150,10025,204,0,60914,1155,83
6/17/2020,752668,13518,245,0,62064,1150,90
6/18/2020,762266,9598,142,0,63316,1252,78
6/19/2020,766903,4637,85,0,64159,843,57
6/20/2020,768567,1664,22,0,64266,107,7
6/21/2020,768592,25,2,0,64266,0,0
