Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,88,10
3/21/2020,2008,321,98,10
3/22/2020,2294,286,102,4
3/23/2020,2903,609,113,11
3/24/2020,3622,719,124,11
3/25/2020,4368,746,135,11
3/26/2020,5304,936,139,4
3/27/2020,6247,943,145,6
3/28/2020,6902,655,153,8
3/29/2020,7425,523,158,5
3/30/2020,8663,1238,160,2
3/31/2020,9928,1265,164,4
4/1/2020,11265,1337,169,5
4/2/2020,12543,1278,175,6
4/3/2020,14023,1480,183,8
4/4/2020,15186,1163,189,6
4/5/2020,16162,976,197,8
4/6/2020,18094,1932,204,7
4/7/2020,20117,2023,213,9
4/8/2020,21981,1864,221,8
4/9/2020,23960,1979,232,11
4/10/2020,26014,2054,239,7
4/11/2020,27310,1296,247,8
4/12/2020,28240,930,260,13
4/13/2020,30244,2004,266,6
4/14/2020,33117,2873,271,5
4/15/2020,35717,2600,285,14
4/16/2020,38106,2389,294,9
4/17/2020,41115,3009,312,18
4/18/2020,42598,1483,319,7
4/19/2020,43688,1090,323,4
4/20/2020,46383,2695,336,13
4/21/2020,48578,2195,354,18
4/22/2020,51294,2716,385,31
4/23/2020,53707,2413,412,27
4/24/2020,55989,2282,477,65
4/25/2020,57486,1497,500,23
4/26/2020,58334,848,530,30
4/27/2020,60465,2131,601,71
4/28/2020,62573,2108,664,63
4/29/2020,64763,2190,748,84
4/30/2020,66812,2049,847,99
5/1/2020,68897,2085,942,95
5/2/2020,69931,1034,1001,59
5/3/2020,70666,735,1034,33
5/4/2020,72553,1887,1169,135
5/5/2020,74293,1740,1296,127
5/6/2020,76003,1710,1437,141
5/7/2020,77690,1687,1559,122
5/8/2020,79152,1462,1653,94
5/9/2020,79836,684,1685,32
5/10/2020,80222,386,1746,61
5/11/2020,81540,1318,1857,111
5/12/2020,82999,1459,1974,117
5/13/2020,84325,1326,2104,130
5/14/2020,85646,1321,2231,127
5/15/2020,86756,1110,2326,95
5/16/2020,87411,655,2364,38
5/17/2020,87778,367,2410,46
5/18/2020,89101,1323,2510,100
5/19/2020,90189,1088,2632,122
5/20/2020,91215,1026,2738,106
5/21/2020,92205,990,2876,138
5/22/2020,93080,875,2985,109
5/23/2020,93473,393,3022,37
5/24/2020,93776,303,3063,41
5/25/2020,93976,200,3120,57
5/26/2020,94859,883,3220,100
5/27/2020,95569,710,3329,109
5/28/2020,96221,652,3448,119
5/29/2020,96753,532,3541,93
5/30/2020,97027,274,3577,36
5/31/2020,97190,163,3612,35
6/1/2020,97704,514,3677,65
6/2/2020,98151,447,3728,51
6/3/2020,98620,469,3804,76
6/4/2020,99011,391,3856,52
6/5/2020,99354,343,3949,93
6/6/2020,99503,149,3981,32
6/7/2020,99654,151,4001,20
6/8/2020,100013,359,4072,71
6/9/2020,100363,350,4152,80
6/10/2020,100623,260,4251,99
6/11/2020,100852,229,4330,79
6/12/2020,101112,260,4380,50
6/13/2020,101210,98,4399,19
6/14/2020,101286,76,4426,27
6/15/2020,101521,235,4494,68
6/16/2020,101721,200,4552,58
6/17/2020,101970,249,4634,82
6/18/2020,102212,242,4698,64
6/19/2020,102389,177,4749,51
6/20/2020,102483,94,4767,18
6/21/2020,102562,79,4782,15
6/22/2020,102792,230,4841,59
6/23/2020,102978,186,4926,85
6/24/2020,103189,211,4992,66
6/25/2020,103394,205,5066,74
6/26/2020,103597,203,5136,70
6/27/2020,103731,134,5154,18
6/28/2020,103801,70,5171,17
6/29/2020,104001,200,5239,68
6/30/2020,104212,211,5331,92
7/1/2020,104429,217,5440,109
7/2/2020,104644,215,5517,77
7/3/2020,104710,66,5575,58
7/4/2020,104762,52,5588,13
7/5/2020,104834,72,5616,28
7/6/2020,104984,150,5670,54
7/7/2020,105118,134,5761,91
7/8/2020,105242,124,5801,40
7/9/2020,105290,48,5818,17
7/10/2020,105290,0,5820,2
