Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,39,4
3/13/2020,222,61,44,5
3/14/2020,295,73,48,4
3/15/2020,363,68,54,6
3/16/2020,513,150,57,3
3/17/2020,762,249,65,8
3/18/2020,1021,259,72,7
3/19/2020,1299,278,78,6
3/20/2020,1687,388,89,11
3/21/2020,2008,321,98,9
3/22/2020,2294,286,102,4
3/23/2020,2903,609,114,12
3/24/2020,3621,718,125,11
3/25/2020,4367,746,136,11
3/26/2020,5303,936,141,5
3/27/2020,6246,943,149,8
3/28/2020,6900,654,157,8
3/29/2020,7423,523,162,5
3/30/2020,8660,1237,164,2
3/31/2020,9926,1266,169,5
4/1/2020,11263,1337,174,5
4/2/2020,12541,1278,180,6
4/3/2020,14021,1480,188,8
4/4/2020,15184,1163,194,6
4/5/2020,16161,977,202,8
4/6/2020,18093,1932,208,6
4/7/2020,20115,2022,217,9
4/8/2020,21978,1863,226,9
4/9/2020,23956,1978,237,11
4/10/2020,26010,2054,245,8
4/11/2020,27307,1297,253,8
4/12/2020,28236,929,266,13
4/13/2020,30238,2002,272,6
4/14/2020,33109,2871,277,5
4/15/2020,35708,2599,291,14
4/16/2020,38097,2389,299,8
4/17/2020,41104,3007,317,18
4/18/2020,42585,1481,324,7
4/19/2020,43675,1090,328,4
4/20/2020,46369,2694,341,13
4/21/2020,48563,2194,359,18
4/22/2020,51279,2716,389,30
4/23/2020,53686,2407,416,27
4/24/2020,55969,2283,481,65
4/25/2020,57465,1496,503,22
4/26/2020,58312,847,533,30
4/27/2020,60442,2130,604,71
4/28/2020,62549,2107,667,63
4/29/2020,64739,2190,750,83
4/30/2020,66787,2048,851,101
5/1/2020,68871,2084,946,95
5/2/2020,69902,1031,1004,58
5/3/2020,70637,735,1038,34
5/4/2020,72518,1881,1174,136
5/5/2020,74256,1738,1302,128
5/6/2020,75956,1700,1443,141
5/7/2020,77639,1683,1566,123
5/8/2020,79099,1460,1660,94
5/9/2020,79782,683,1693,33
5/10/2020,80168,386,1755,62
5/11/2020,81479,1311,1866,111
5/12/2020,82935,1456,1986,120
5/13/2020,84256,1321,2117,131
5/14/2020,85572,1316,2244,127
5/15/2020,86680,1108,2339,95
5/16/2020,87330,650,2377,38
5/17/2020,87693,363,2425,48
5/18/2020,89010,1317,2526,101
5/19/2020,90090,1080,2647,121
5/20/2020,91112,1022,2753,106
