Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,122,39,14,,2,0,0,43,7
3/7/2020,206,84,44,,2,0,0,86,14
3/8/2020,260,54,19,,2,0,0,53,7
3/9/2020,333,73,5,,2,0,0,76,5
3/10/2020,438,105,14,,2,0,0,104,6
3/11/2020,611,173,22,,2,0,0,176,6
3/12/2020,1029,418,29,,2,0,0,426,7
3/13/2020,1969,940,61,,2,0,0,972,14
3/14/2020,2868,899,73,,2,0,0,920,15
3/15/2020,3897,1029,68,,2,0,0,1057,27
3/16/2020,6042,2145,150,,2,0,0,2218,18
3/17/2020,8722,2680,249,,2,0,0,2762,28
3/18/2020,11703,2981,259,,2,0,0,3070,157
3/19/2020,14606,2903,278,,2,0,0,2998,142
3/20/2020,18250,3644,388,,2,0,0,3752,124
3/21/2020,20783,2533,321,,2,0,0,2603,168
3/22/2020,22679,1896,286,,2,0,0,1944,158
3/23/2020,26466,3787,609,,2,0,0,3895,202
3/24/2020,30461,3995,718,,2,0,0,4114,207
3/25/2020,34564,4103,746,,2,0,0,4216,269
3/26/2020,38985,4421,936,,2,0,0,4540,299
3/27/2020,43353,4368,943,,2,0,0,4474,342
3/28/2020,46155,2802,655,,2,0,0,2871,332
3/29/2020,48224,2069,523,,2,0,0,2155,318
3/30/2020,53280,5056,1238,,2,0,0,5174,416
3/31/2020,58517,5237,1265,,2,0,0,5459,472
4/1/2020,63440,4923,1337,,2,0,0,5113,463
4/2/2020,68656,5216,1278,,5,3,1,5410,597
4/3/2020,74408,5752,1480,,5,0,0,5961,626
4/4/2020,78399,3991,1163,,9,4,1,4064,690
4/5/2020,81820,3421,976,,9,0,0,3575,538
4/6/2020,88484,6664,1932,,13,4,0,6837,776
4/7/2020,95047,6563,2022,,17,4,0,6678,956
4/8/2020,101848,6801,1864,,19,2,0,7002,966
4/9/2020,108282,6434,1978,,41,22,2,6764,1032
4/10/2020,115868,7586,2054,,42,1,1,7798,1053
4/11/2020,120233,4365,1296,,43,1,0,4505,801
4/12/2020,123288,3055,929,,46,3,2,3122,704
4/13/2020,129611,6323,2003,,54,8,0,6415,1117
4/14/2020,139371,9760,2873,,63,9,2,9879,1465
4/15/2020,149308,9937,2600,,73,10,2,10225,1444
4/16/2020,158224,8916,2389,,94,21,0,8998,1703
4/17/2020,169322,11098,3008,,174,80,5,11460,1752
4/18/2020,175368,6046,1483,,182,8,3,6373,1108
4/19/2020,179965,4597,1091,,192,10,1,4670,926
4/20/2020,190763,10798,2695,,256,64,6,11078,1893
4/21/2020,200231,9468,2195,,332,76,11,9719,2109
4/22/2020,212717,12486,2715,,479,147,17,12765,2632
4/23/2020,223522,10805,2412,,953,474,31,10897,2530
4/24/2020,235886,12364,2283,,1852,899,82,12396,2495
4/25/2020,244140,8254,1497,,2339,487,25,8443,1822
4/26/2020,249030,4890,848,,2794,455,36,4804,1403
4/27/2020,260018,10988,2131,,3938,1144,79,10878,2918
4/28/2020,272295,12277,2108,,5362,1424,83,12294,2984
4/29/2020,284943,12648,2190,,7071,1709,105,12608,2912
4/30/2020,298703,13760,2049,,8449,1378,116,13757,3122
5/1/2020,312818,14115,2085,,10226,1777,130,14030,3265
5/2/2020,320097,7279,1034,,10821,595,57,7343,1855
5/3/2020,325207,5110,735,,11225,404,42,5054,1409
5/4/2020,337327,12120,1885,,13211,1986,162,11966,3482
5/5/2020,349996,12669,1738,,15153,1942,157,12484,3533
5/6/2020,363332,13336,1707,,17085,1932,184,13105,3580
5/7/2020,376830,13498,1685,,19134,2049,173,13463,3628
5/8/2020,390171,13341,1461,,20992,1858,136,13272,3670
5/9/2020,396008,5837,684,,21615,623,38,5724,1964
5/10/2020,399176,3168,386,,21967,352,77,3091,1467
5/11/2020,411048,11872,1315,,23782,1815,162,11650,3994
