Date,Total,New,Positive,Missing
1/22/2020,1,1,0,
1/23/2020,2,1,0,
1/24/2020,2,0,0,
1/25/2020,2,0,0,
1/26/2020,2,0,0,
1/27/2020,3,1,0,
1/28/2020,3,0,0,
1/29/2020,4,1,1,
1/30/2020,4,0,0,
1/31/2020,4,0,0,
2/1/2020,4,0,0,
2/2/2020,4,0,0,
2/3/2020,7,3,0,
2/4/2020,9,2,0,
2/5/2020,9,0,0,
2/6/2020,10,1,1,
2/7/2020,10,0,0,
2/8/2020,11,1,0,
2/9/2020,11,0,0,
2/10/2020,11,0,0,
2/11/2020,12,1,0,
2/12/2020,13,1,0,
2/13/2020,13,0,0,
2/14/2020,13,0,0,
2/15/2020,13,0,0,
2/16/2020,13,0,0,
2/17/2020,13,0,0,
2/18/2020,13,0,0,
2/19/2020,13,0,0,
2/20/2020,13,0,0,
2/21/2020,13,0,0,
2/22/2020,13,0,0,
2/23/2020,13,0,0,
2/24/2020,13,0,0,
2/25/2020,13,0,0,
2/26/2020,13,0,0,
2/27/2020,13,0,0,
2/28/2020,14,1,0,
2/29/2020,15,1,0,
3/1/2020,17,2,1,
3/2/2020,20,3,0,
3/3/2020,34,14,1,
3/4/2020,52,18,2,
3/5/2020,84,32,8,
3/6/2020,123,39,14,
3/7/2020,206,83,42,
3/8/2020,260,54,19,
3/9/2020,333,73,5,
3/10/2020,438,105,14,
3/11/2020,612,174,22,
3/12/2020,1030,418,29,
3/13/2020,1973,943,60,
3/14/2020,2877,904,73,
3/15/2020,3913,1036,68,
3/16/2020,6070,2157,150,
3/17/2020,8763,2693,249,
3/18/2020,11757,2994,256,
3/19/2020,14665,2908,275,
3/20/2020,18319,3654,386,
3/21/2020,20860,2541,320,
3/22/2020,22763,1903,285,
3/23/2020,26566,3803,606,
3/24/2020,30582,4016,716,
3/25/2020,34699,4117,743,
3/26/2020,39137,4438,935,
3/27/2020,43527,4390,944,
3/28/2020,46333,2806,650,
3/29/2020,48418,2085,523,
3/30/2020,53492,5074,1233,
3/31/2020,58759,5267,1266,
4/1/2020,63714,4955,1338,
4/2/2020,68982,5268,1278,
4/3/2020,74761,5779,1480,
4/4/2020,78781,4020,1162,
4/5/2020,82236,3455,975,
4/6/2020,88963,6727,1932,
4/7/2020,95608,6645,2034,
4/8/2020,102475,6867,1870,
4/9/2020,109006,6531,1993,
4/10/2020,116698,7692,2063,
4/11/2020,121108,4410,1302,
4/12/2020,124242,3134,930,
4/13/2020,130633,6391,2002,
4/14/2020,140468,9835,2871,
4/15/2020,150528,10060,2599,
4/16/2020,159552,9024,2389,
4/17/2020,170829,11277,3003,
4/18/2020,176986,6157,1486,
4/19/2020,181639,4653,1092,
4/20/2020,192609,10970,2697,
4/21/2020,202213,9604,2200,
4/22/2020,214997,12784,2721,
4/23/2020,225824,10827,2416,
4/24/2020,238224,12400,2276,
4/25/2020,246674,8450,1500,
4/26/2020,251586,4912,845,
4/27/2020,262719,11133,2132,
4/28/2020,275185,12466,2110,
4/29/2020,287965,12780,2185,
4/30/2020,301853,13888,2053,
5/1/2020,316261,14408,2085,
5/2/2020,323747,7486,1045,
5/3/2020,328848,5101,731,
5/4/2020,341115,12267,1880,
5/5/2020,353887,12772,1753,
5/6/2020,367306,13419,1727,
5/7/2020,380706,13400,1694,
5/8/2020,393911,13205,1473,
5/9/2020,399749,5838,693,
5/10/2020,402896,3147,393,
5/11/2020,414552,11656,1345,
5/12/2020,427040,12488,1384,
5/13/2020,438767,11727,1184,
5/14/2020,451315,12548,1286,
5/15/2020,462879,11564,992,
5/16/2020,467619,4740,431,
5/17/2020,469174,1555,121,115
5/18/2020,469198,24,4,1
