Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,1,1
3/11/2020,0,0,0,1
3/12/2020,0,0,0,1
3/13/2020,0,0,1,2
3/14/2020,0,0,0,2
3/15/2020,0,0,0,2
3/16/2020,0,0,0,2
3/17/2020,0,0,0,2
3/18/2020,2,2,0,2
3/19/2020,1,3,0,2
3/20/2020,2,5,0,2
3/21/2020,2,7,0,2
3/22/2020,4,11,0,2
3/23/2020,6,17,0,2
3/24/2020,9,26,0,2
3/25/2020,7,33,0,2
3/26/2020,9,42,1,3
3/27/2020,15,57,0,3
3/28/2020,15,72,0,3
3/29/2020,25,97,0,3
3/30/2020,28,125,0,3
3/31/2020,28,153,0,3
4/1/2020,36,189,0,3
4/2/2020,42,231,2,5
4/3/2020,37,268,1,6
4/4/2020,38,306,0,6
4/5/2020,68,374,0,6
4/6/2020,80,454,1,7
4/7/2020,71,525,1,8
4/8/2020,100,625,3,11
4/9/2020,112,737,1,12
4/10/2020,108,845,4,16
4/11/2020,120,965,5,21
4/12/2020,113,1078,6,27
4/13/2020,162,1240,8,35
4/14/2020,121,1361,10,45
4/15/2020,175,1536,7,52
4/16/2020,174,1710,6,58
4/17/2020,170,1880,7,65
4/18/2020,168,2048,7,72
4/19/2020,176,2224,4,76
4/20/2020,172,2396,6,82
4/21/2020,161,2557,1,83
4/22/2020,152,2709,0,83
4/23/2020,190,2899,5,88
4/24/2020,197,3096,4,92
4/25/2020,149,3245,1,93
4/26/2020,152,3397,2,95
4/27/2020,161,3558,6,101
4/28/2020,143,3701,4,105
4/29/2020,177,3878,3,108
4/30/2020,143,4021,0,108
5/1/2020,176,4197,0,108
5/2/2020,140,4337,1,109
5/3/2020,139,4476,3,112
5/4/2020,133,4609,1,113
5/5/2020,137,4746,3,116
5/6/2020,138,4884,5,121
5/7/2020,130,5014,2,123
5/8/2020,109,5123,4,127
5/9/2020,105,5228,5,132
5/10/2020,124,5352,0,132
5/11/2020,126,5478,0,132
5/12/2020,113,5591,2,134
5/13/2020,112,5703,0,134
5/14/2020,98,5801,0,134
5/15/2020,116,5917,0,134
5/16/2020,87,6004,0,134
5/17/2020,79,6083,0,134
5/18/2020,90,6173,0,134
5/19/2020,70,6243,2,136
5/20/2020,81,6324,1,137
5/21/2020,64,6388,1,138
5/22/2020,80,6468,0,138
5/23/2020,65,6533,0,138
5/24/2020,56,6589,0,138
5/25/2020,57,6646,0,138
5/26/2020,68,6714,0,138
5/27/2020,61,6775,0,138
5/28/2020,44,6819,0,138
5/29/2020,52,6871,1,139
5/30/2020,40,6911,0,139
5/31/2020,23,6934,1,140
6/1/2020,1,6935,0,140
