Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,38,3
3/13/2020,222,61,43,5
3/14/2020,295,73,48,5
3/15/2020,363,68,53,5
3/16/2020,513,150,56,3
3/17/2020,762,249,64,8
3/18/2020,1021,259,70,6
3/19/2020,1298,277,77,7
3/20/2020,1686,388,88,11
3/21/2020,2006,320,98,10
3/22/2020,2292,286,102,4
3/23/2020,2900,608,114,12
3/24/2020,3617,717,124,10
3/25/2020,4361,744,135,11
3/26/2020,5295,934,139,4
3/27/2020,6238,943,144,5
3/28/2020,6893,655,152,8
3/29/2020,7416,523,157,5
3/30/2020,8652,1236,159,2
3/31/2020,9917,1265,163,4
4/1/2020,11252,1335,171,8
4/2/2020,12531,1279,177,6
4/3/2020,14011,1480,184,7
4/4/2020,15173,1162,190,6
4/5/2020,16148,975,197,7
4/6/2020,18080,1932,202,5
4/7/2020,20104,2024,211,9
4/8/2020,21970,1866,217,6
4/9/2020,23953,1983,226,9
4/10/2020,26006,2053,234,8
4/11/2020,27303,1297,241,7
4/12/2020,28233,930,252,11
4/13/2020,30237,2004,259,7
4/14/2020,33109,2872,265,6
4/15/2020,35710,2601,278,13
4/16/2020,38097,2387,285,7
4/17/2020,41103,3006,303,18
4/18/2020,42583,1480,309,6
4/19/2020,43672,1089,311,2
4/20/2020,46371,2699,323,12
4/21/2020,48570,2199,345,22
4/22/2020,51287,2717,375,30
4/23/2020,53703,2416,402,27
4/24/2020,55984,2281,467,65
4/25/2020,57481,1497,489,22
4/26/2020,58327,846,519,30
4/27/2020,60452,2125,586,67
4/28/2020,62560,2108,646,60
4/29/2020,64745,2185,728,82
4/30/2020,66797,2052,825,97
5/1/2020,68883,2086,920,95
5/2/2020,69921,1038,981,61
5/3/2020,70655,734,1014,33
5/4/2020,72543,1888,1149,135
5/5/2020,74286,1743,1273,124
5/6/2020,75997,1711,1411,138
5/7/2020,77692,1695,1530,119
5/8/2020,79156,1464,1624,94
5/9/2020,79842,686,1656,32
5/10/2020,80229,387,1718,62
5/11/2020,81546,1317,1828,110
5/12/2020,83004,1458,1945,117
5/13/2020,84338,1334,2076,131
5/14/2020,85664,1326,2204,128
5/15/2020,86777,1113,2300,96
5/16/2020,87434,657,2338,38
5/17/2020,87807,373,2383,45
5/18/2020,89137,1330,2482,99
5/19/2020,90235,1098,2604,122
5/20/2020,91268,1033,2708,104
5/21/2020,92266,998,2845,137
5/22/2020,93145,879,2953,108
5/23/2020,93539,394,2988,35
5/24/2020,93843,304,3026,38
5/25/2020,94044,201,3084,58
5/26/2020,94933,889,3182,98
5/27/2020,95652,719,3293,111
5/28/2020,96316,664,3414,121
5/29/2020,96854,538,3507,93
5/30/2020,97130,276,3542,35
5/31/2020,97301,171,3576,34
6/1/2020,97830,529,3640,64
6/2/2020,98288,458,3692,52
6/3/2020,98769,481,3771,79
6/4/2020,99177,408,3826,55
6/5/2020,99521,344,3943,117
6/6/2020,99672,151,3971,28
6/7/2020,99825,153,3991,20
6/8/2020,100197,372,4059,68
6/9/2020,100537,340,4136,77
6/10/2020,100732,195,4209,73
6/11/2020,100810,78,4248,39
6/12/2020,100811,1,4248,0
