Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1963,937,61,,2,0,0,971,14
3/14/2020,2862,899,73,,2,0,0,920,15
3/15/2020,3889,1027,68,,2,0,0,1057,27
3/16/2020,6030,2141,150,,2,0,0,2217,18
3/17/2020,8707,2677,249,,2,0,0,2762,28
3/18/2020,11685,2978,259,,2,0,0,3069,157
3/19/2020,14583,2898,278,,2,0,0,2996,142
3/20/2020,18222,3639,388,,2,0,0,3751,124
3/21/2020,20751,2529,321,,2,0,0,2603,168
3/22/2020,22645,1894,286,,2,0,0,1943,159
3/23/2020,26428,3783,609,,2,0,0,3895,202
3/24/2020,30417,3989,718,,2,0,0,4114,207
3/25/2020,34515,4098,746,,2,0,0,4215,269
3/26/2020,38929,4414,936,,2,0,0,4538,299
3/27/2020,43289,4360,943,,2,0,0,4473,342
3/28/2020,46088,2799,654,,2,0,0,2870,332
3/29/2020,48156,2068,523,,2,0,0,2155,318
3/30/2020,53201,5045,1238,,2,0,0,5165,416
3/31/2020,58435,5234,1266,,2,0,0,5459,471
4/1/2020,63355,4920,1337,,2,0,0,5113,463
4/2/2020,68565,5210,1278,,5,3,1,5407,597
4/3/2020,74290,5725,1480,,5,0,0,5938,629
4/4/2020,78263,3973,1163,,9,4,1,4054,690
4/5/2020,81667,3404,977,,9,0,0,3563,539
4/6/2020,88289,6622,1932,,13,4,0,6808,783
4/7/2020,94823,6534,2022,,17,4,0,6660,967
4/8/2020,101594,6771,1864,,19,2,0,6978,983
4/9/2020,108008,6414,1978,,41,22,2,6754,1040
4/10/2020,115574,7566,2054,,42,1,1,7792,1060
4/11/2020,119926,4352,1297,,43,1,0,4498,808
4/12/2020,122941,3015,929,,46,3,2,3091,711
4/13/2020,129190,6249,2002,,54,8,0,6346,1134
4/14/2020,138911,9721,2871,,62,8,2,9850,1495
4/15/2020,148798,9887,2599,,72,10,2,10191,1462
4/16/2020,157683,8885,2389,,93,21,0,8983,1723
4/17/2020,168738,11055,3006,,173,80,5,11433,1773
4/18/2020,174743,6005,1481,,181,8,3,6338,1141
4/19/2020,179317,4574,1089,,191,10,1,4658,938
4/20/2020,190041,10724,2692,,255,64,6,11036,1929
4/21/2020,199463,9422,2190,,331,76,11,9691,2133
4/22/2020,211901,12438,2715,,478,147,17,12735,2664
4/23/2020,222659,10758,2408,,951,473,31,10871,2555
4/24/2020,234995,12336,2283,,1849,898,82,12384,2520
4/25/2020,243185,8190,1496,,2336,487,25,8422,1844
4/26/2020,248056,4871,847,,2791,455,36,4792,1415
4/27/2020,258999,10943,2130,,3933,1142,79,10849,2946
4/28/2020,271234,12235,2107,,5355,1422,83,12273,3002
4/29/2020,283807,12573,2190,,7060,1705,105,12573,2941
4/30/2020,297523,13716,2048,,8438,1378,116,13726,3149
5/1/2020,311585,14062,2084,,10215,1777,130,13994,3297
5/2/2020,318818,7233,1031,,10809,594,57,7313,1884
5/3/2020,323901,5083,735,,11213,404,42,5035,1426
5/4/2020,335952,12051,1881,,13233,2020,162,11912,3532
5/5/2020,348548,12596,1738,,15210,1977,157,12435,3580
5/6/2020,361810,13262,1700,,17189,1979,184,13069,3616
5/7/2020,375260,13450,1683,,19256,2067,173,13422,3671
5/8/2020,388520,13260,1460,,21140,1884,136,13214,3729
5/9/2020,394335,5815,684,,21768,628,38,5709,1979
5/10/2020,397491,3156,386,,22122,354,77,3079,1479
5/11/2020,409282,11791,1311,,23965,1843,162,11610,4029
