Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1963,937,61,,2,0,0,971,14
3/14/2020,2862,899,73,,2,0,0,920,15
3/15/2020,3889,1027,68,,2,0,0,1057,27
3/16/2020,6031,2142,150,,2,0,0,2217,18
3/17/2020,8708,2677,249,,2,0,0,2762,28
3/18/2020,11686,2978,259,,2,0,0,3069,157
3/19/2020,14584,2898,278,,2,0,0,2996,142
3/20/2020,18223,3639,388,,2,0,0,3751,124
3/21/2020,20752,2529,321,,2,0,0,2603,168
3/22/2020,22646,1894,286,,2,0,0,1943,159
3/23/2020,26429,3783,609,,2,0,0,3895,202
3/24/2020,30418,3989,718,,2,0,0,4114,207
3/25/2020,34516,4098,746,,2,0,0,4215,269
3/26/2020,38930,4414,936,,2,0,0,4538,299
3/27/2020,43290,4360,943,,2,0,0,4473,342
3/28/2020,46089,2799,654,,2,0,0,2870,332
3/29/2020,48157,2068,523,,2,0,0,2155,318
3/30/2020,53202,5045,1238,,2,0,0,5165,416
3/31/2020,58436,5234,1266,,2,0,0,5459,471
4/1/2020,63356,4920,1337,,2,0,0,5113,463
4/2/2020,68567,5211,1278,,5,3,1,5407,597
4/3/2020,74292,5725,1480,,5,0,0,5938,629
4/4/2020,78265,3973,1163,,9,4,1,4054,690
4/5/2020,81669,3404,977,,9,0,0,3563,539
4/6/2020,88294,6625,1932,,13,4,0,6810,783
4/7/2020,94831,6537,2022,,17,4,0,6663,967
4/8/2020,101603,6772,1864,,19,2,0,6979,983
4/9/2020,108017,6414,1978,,41,22,2,6754,1040
4/10/2020,115583,7566,2054,,42,1,1,7792,1060
4/11/2020,119936,4353,1297,,43,1,0,4499,807
4/12/2020,122952,3016,929,,46,3,2,3092,710
4/13/2020,129202,6250,2002,,54,8,0,6347,1133
4/14/2020,138923,9721,2870,,62,8,2,9851,1494
4/15/2020,148810,9887,2599,,72,10,2,10191,1462
4/16/2020,157697,8887,2389,,93,21,0,8985,1721
4/17/2020,168753,11056,3006,,173,80,5,11434,1772
4/18/2020,174759,6006,1481,,181,8,3,6339,1140
4/19/2020,179336,4577,1089,,191,10,1,4659,937
4/20/2020,190060,10724,2692,,255,64,6,11036,1929
4/21/2020,199483,9423,2190,,331,76,11,9691,2133
4/22/2020,211921,12438,2714,,478,147,17,12735,2663
4/23/2020,222682,10761,2408,,951,473,31,10874,2552
4/24/2020,235021,12339,2283,,1849,898,82,12386,2518
4/25/2020,243215,8194,1496,,2336,487,25,8423,1843
4/26/2020,248087,4872,847,,2791,455,36,4792,1415
4/27/2020,259031,10944,2130,,3933,1142,79,10850,2945
4/28/2020,271267,12236,2107,,5355,1422,83,12273,3002
4/29/2020,283843,12576,2190,,7060,1705,105,12575,2940
4/30/2020,297561,13718,2048,,8438,1378,116,13728,3147
5/1/2020,311625,14064,2084,,10215,1777,130,13995,3296
5/2/2020,318860,7235,1031,,10809,594,57,7313,1884
5/3/2020,323944,5084,735,,11213,404,42,5036,1425
5/4/2020,335996,12052,1881,,13233,2020,162,11913,3531
5/5/2020,348593,12597,1738,,15210,1977,157,12436,3579
5/6/2020,361858,13265,1700,,17189,1979,184,13069,3616
5/7/2020,375310,13452,1683,,19256,2067,173,13423,3670
5/8/2020,388573,13263,1460,,21140,1884,136,13217,3726
5/9/2020,394388,5815,684,,21768,628,38,5709,1979
5/10/2020,397544,3156,386,,22122,354,77,3079,1479
5/11/2020,409337,11793,1311,,23965,1843,162,11612,4027
