Date,Positive Total,Positive New,Probable Total,Probable New
1/29/2020,1,1,0,0
1/30/2020,1,0,0,0
1/31/2020,1,0,0,0
2/1/2020,1,0,0,0
2/2/2020,1,0,0,0
2/3/2020,1,0,0,0
2/4/2020,1,0,0,0
2/5/2020,1,0,0,0
2/6/2020,2,1,0,0
2/7/2020,2,0,0,0
2/8/2020,2,0,0,0
2/9/2020,2,0,0,0
2/10/2020,2,0,0,0
2/11/2020,2,0,0,0
2/12/2020,2,0,0,0
2/13/2020,2,0,0,0
2/14/2020,2,0,0,0
2/15/2020,2,0,0,0
2/16/2020,2,0,0,0
2/17/2020,2,0,0,0
2/18/2020,2,0,0,0
2/19/2020,2,0,0,0
2/20/2020,2,0,0,0
2/21/2020,2,0,0,0
2/22/2020,2,0,0,0
2/23/2020,2,0,0,0
2/24/2020,2,0,0,0
2/25/2020,2,0,0,0
2/26/2020,2,0,0,0
2/27/2020,2,0,0,0
2/28/2020,2,0,0,0
2/29/2020,2,0,0,0
3/1/2020,3,1,3,3
3/2/2020,3,0,5,2
3/3/2020,4,1,8,3
3/4/2020,6,2,9,1
3/5/2020,14,8,12,3
3/6/2020,28,14,12,0
3/7/2020,72,44,15,3
3/8/2020,91,19,20,5
3/9/2020,96,5,24,4
3/10/2020,110,14,30,6
3/11/2020,132,22,35,5
3/12/2020,161,29,39,4
3/13/2020,222,61,44,5
3/14/2020,295,73,49,5
3/15/2020,363,68,55,6
3/16/2020,513,150,58,3
3/17/2020,762,249,66,8
3/18/2020,1021,259,73,7
3/19/2020,1299,278,79,6
3/20/2020,1687,388,89,10
3/21/2020,2008,321,99,10
3/22/2020,2294,286,103,4
3/23/2020,2903,609,114,11
3/24/2020,3621,718,125,11
3/25/2020,4367,746,136,11
3/26/2020,5303,936,140,4
3/27/2020,6246,943,146,6
3/28/2020,6901,655,154,8
3/29/2020,7424,523,159,5
3/30/2020,8662,1238,161,2
3/31/2020,9927,1265,165,4
4/1/2020,11264,1337,170,5
4/2/2020,12542,1278,176,6
4/3/2020,14022,1480,184,8
4/4/2020,15185,1163,190,6
4/5/2020,16161,976,198,8
4/6/2020,18093,1932,204,6
4/7/2020,20116,2023,213,9
4/8/2020,21980,1864,221,8
4/9/2020,23958,1978,232,11
4/10/2020,26012,2054,239,7
4/11/2020,27308,1296,247,8
4/12/2020,28237,929,260,13
4/13/2020,30241,2004,266,6
4/14/2020,33114,2873,271,5
4/15/2020,35714,2600,285,14
4/16/2020,38103,2389,294,9
4/17/2020,41112,3009,312,18
4/18/2020,42595,1483,319,7
4/19/2020,43685,1090,323,4
4/20/2020,46380,2695,336,13
4/21/2020,48575,2195,354,18
4/22/2020,51291,2716,384,30
4/23/2020,53703,2412,411,27
4/24/2020,55986,2283,476,65
4/25/2020,57483,1497,499,23
4/26/2020,58331,848,529,30
4/27/2020,60462,2131,600,71
4/28/2020,62570,2108,663,63
4/29/2020,64760,2190,747,84
4/30/2020,66809,2049,848,101
5/1/2020,68894,2085,943,95
5/2/2020,69928,1034,1001,58
5/3/2020,70663,735,1034,33
5/4/2020,72550,1887,1170,136
5/5/2020,74290,1740,1297,127
5/6/2020,76000,1710,1438,141
5/7/2020,77687,1687,1560,122
5/8/2020,79149,1462,1654,94
5/9/2020,79833,684,1686,32
5/10/2020,80219,386,1747,61
5/11/2020,81537,1318,1858,111
5/12/2020,82996,1459,1975,117
5/13/2020,84322,1326,2105,130
5/14/2020,85643,1321,2232,127
5/15/2020,86753,1110,2327,95
5/16/2020,87408,655,2365,38
5/17/2020,87775,367,2411,46
5/18/2020,89098,1323,2512,101
5/19/2020,90186,1088,2634,122
5/20/2020,91212,1026,2740,106
5/21/2020,92202,990,2878,138
5/22/2020,93077,875,2987,109
5/23/2020,93470,393,3024,37
5/24/2020,93773,303,3065,41
5/25/2020,93973,200,3122,57
5/26/2020,94856,883,3221,99
5/27/2020,95566,710,3330,109
5/28/2020,96218,652,3450,120
5/29/2020,96751,533,3543,93
5/30/2020,97025,274,3579,36
5/31/2020,97188,163,3614,35
6/1/2020,97702,514,3679,65
6/2/2020,98149,447,3730,51
6/3/2020,98617,468,3806,76
6/4/2020,99005,388,3858,52
6/5/2020,99348,343,3951,93
6/6/2020,99497,149,3983,32
6/7/2020,99648,151,4004,21
6/8/2020,100005,357,4075,71
6/9/2020,100353,348,4155,80
6/10/2020,100612,259,4256,101
6/11/2020,100841,229,4335,79
6/12/2020,101101,260,4385,50
6/13/2020,101199,98,4404,19
6/14/2020,101275,76,4431,27
6/15/2020,101510,235,4499,68
6/16/2020,101710,200,4557,58
6/17/2020,101959,249,4640,83
6/18/2020,102201,242,4702,62
6/19/2020,102378,177,4753,51
6/20/2020,102472,94,4772,19
6/21/2020,102550,78,4788,16
6/22/2020,102781,231,4847,59
6/23/2020,102968,187,4932,85
6/24/2020,103179,211,4998,66
6/25/2020,103384,205,5073,75
6/26/2020,103587,203,5143,70
6/27/2020,103722,135,5161,18
6/28/2020,103791,69,5178,17
6/29/2020,103991,200,5247,69
6/30/2020,104205,214,5340,93
7/1/2020,104423,218,5450,110
7/2/2020,104650,227,5527,77
7/3/2020,104741,91,5584,57
7/4/2020,104805,64,5597,13
7/5/2020,104902,97,5626,29
7/6/2020,105098,196,5683,57
7/7/2020,105253,155,5791,108
7/8/2020,105408,155,5858,67
7/9/2020,105557,149,5947,89
7/10/2020,105703,146,6019,72
7/11/2020,105760,57,6029,10
7/12/2020,105782,22,6044,15
7/13/2020,105783,1,6044,0
