Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New,First Molecular Test per person,Repeat Molecular Tests
1/22/2020,1,1,0,,0,0,0,1,0
1/23/2020,2,1,0,,0,0,0,1,0
1/24/2020,2,0,0,,0,0,0,0,0
1/25/2020,2,0,0,,0,0,0,0,0
1/26/2020,2,0,0,,0,0,0,0,0
1/27/2020,3,1,0,,0,0,0,1,0
1/28/2020,3,0,0,,0,0,0,0,0
1/29/2020,4,1,1,,0,0,0,1,0
1/30/2020,4,0,0,,0,0,0,0,0
1/31/2020,4,0,0,,0,0,0,0,0
2/1/2020,4,0,0,,0,0,0,0,0
2/2/2020,4,0,0,,0,0,0,0,0
2/3/2020,7,3,0,,0,0,0,3,0
2/4/2020,9,2,0,,0,0,0,2,0
2/5/2020,9,0,0,,0,0,0,0,0
2/6/2020,10,1,1,,0,0,0,1,0
2/7/2020,10,0,0,,0,0,0,0,0
2/8/2020,11,1,0,,0,0,0,1,0
2/9/2020,11,0,0,,0,0,0,0,0
2/10/2020,11,0,0,,0,0,0,0,1
2/11/2020,11,0,0,,0,0,0,0,0
2/12/2020,11,0,0,,0,0,0,1,0
2/13/2020,11,0,0,,0,0,0,0,0
2/14/2020,11,0,0,,0,0,0,0,0
2/15/2020,11,0,0,,0,0,0,0,0
2/16/2020,11,0,0,,0,0,0,0,0
2/17/2020,11,0,0,,0,0,0,0,0
2/18/2020,11,0,0,,0,0,0,0,0
2/19/2020,11,0,0,,0,0,0,0,0
2/20/2020,11,0,0,,0,0,0,0,1
2/21/2020,11,0,0,,0,0,0,0,0
2/22/2020,11,0,0,,0,0,0,0,0
2/23/2020,11,0,0,,0,0,0,0,0
2/24/2020,11,0,0,,1,1,0,0,2
2/25/2020,11,0,0,,1,0,0,0,0
2/26/2020,11,0,0,,1,0,0,0,0
2/27/2020,11,0,0,,1,0,0,0,0
2/28/2020,12,1,0,,1,0,0,0,2
2/29/2020,13,1,0,,1,0,0,1,0
3/1/2020,15,2,1,,1,0,0,2,2
3/2/2020,18,3,0,,1,0,0,3,3
3/3/2020,32,14,1,,2,1,0,14,1
3/4/2020,51,19,2,,2,0,0,19,3
3/5/2020,83,32,8,,2,0,0,33,3
3/6/2020,121,38,14,,2,0,0,42,7
3/7/2020,205,84,44,,2,0,0,86,14
3/8/2020,259,54,19,,2,0,0,53,7
3/9/2020,331,72,5,,2,0,0,76,5
3/10/2020,435,104,14,,2,0,0,103,6
3/11/2020,608,173,22,,2,0,0,176,6
3/12/2020,1026,418,29,,2,0,0,426,7
3/13/2020,1963,937,61,,2,0,0,971,14
3/14/2020,2862,899,73,,2,0,0,920,15
3/15/2020,3889,1027,68,,2,0,0,1057,27
3/16/2020,6031,2142,150,,2,0,0,2217,18
3/17/2020,8708,2677,249,,2,0,0,2762,28
3/18/2020,11686,2978,259,,2,0,0,3069,157
3/19/2020,14585,2899,278,,2,0,0,2996,142
3/20/2020,18224,3639,388,,2,0,0,3751,124
3/21/2020,20753,2529,321,,2,0,0,2603,168
3/22/2020,22647,1894,286,,2,0,0,1943,159
3/23/2020,26430,3783,609,,2,0,0,3895,202
3/24/2020,30420,3990,718,,2,0,0,4114,207
3/25/2020,34518,4098,746,,2,0,0,4215,269
3/26/2020,38933,4415,936,,2,0,0,4538,299
3/27/2020,43295,4362,943,,2,0,0,4473,342
3/28/2020,46094,2799,654,,2,0,0,2870,332
3/29/2020,48162,2068,523,,2,0,0,2155,318
3/30/2020,53208,5046,1238,,2,0,0,5166,416
3/31/2020,58443,5235,1266,,2,0,0,5459,471
4/1/2020,63364,4921,1337,,2,0,0,5113,463
4/2/2020,68575,5211,1278,,5,3,1,5407,597
4/3/2020,74300,5725,1480,,5,0,0,5938,629
4/4/2020,78273,3973,1163,,9,4,1,4054,690
4/5/2020,81677,3404,977,,9,0,0,3563,539
4/6/2020,88305,6628,1932,,13,4,0,6811,783
4/7/2020,94845,6540,2022,,17,4,0,6665,967
4/8/2020,101620,6775,1864,,19,2,0,6980,982
4/9/2020,108035,6415,1978,,41,22,2,6755,1039
4/10/2020,115601,7566,2054,,42,1,1,7792,1060
4/11/2020,119954,4353,1297,,43,1,0,4499,807
4/12/2020,122974,3020,929,,46,3,2,3095,708
4/13/2020,129225,6251,2002,,54,8,0,6347,1133
4/14/2020,138951,9726,2871,,62,8,2,9853,1492
4/15/2020,148839,9888,2599,,72,10,2,10192,1461
4/16/2020,157727,8888,2389,,93,21,0,8986,1720
4/17/2020,168785,11058,3006,,173,80,5,11435,1771
4/18/2020,174792,6007,1481,,181,8,3,6340,1139
4/19/2020,179369,4577,1089,,191,10,1,4659,937
4/20/2020,190098,10729,2692,,255,64,6,11040,1925
4/21/2020,199522,9424,2190,,331,76,11,9691,2133
4/22/2020,211961,12439,2714,,478,147,17,12736,2662
4/23/2020,222726,10765,2408,,951,473,31,10876,2550
4/24/2020,235071,12345,2283,,1849,898,82,12390,2514
4/25/2020,243266,8195,1496,,2336,487,25,8423,1843
4/26/2020,248144,4878,847,,2791,455,36,4794,1413
4/27/2020,259089,10945,2130,,3933,1142,79,10851,2944
4/28/2020,271329,12240,2107,,5355,1422,83,12275,3000
4/29/2020,283912,12583,2190,,7062,1707,105,12577,2938
4/30/2020,297635,13723,2048,,8440,1378,116,13732,3144
5/1/2020,311704,14069,2084,,10217,1777,130,13998,3293
5/2/2020,318943,7239,1031,,10811,594,57,7316,1881
5/3/2020,324027,5084,735,,11215,404,42,5036,1425
5/4/2020,336084,12057,1881,,13235,2020,162,11916,3528
5/5/2020,348688,12604,1738,,15212,1977,157,12441,3575
5/6/2020,361959,13271,1700,,17192,1980,184,13071,3614
5/7/2020,375414,13455,1683,,19259,2067,173,13426,3667
5/8/2020,388683,13269,1460,,21143,1884,136,13222,3721
5/9/2020,394499,5816,684,,21771,628,38,5710,1978
5/10/2020,397656,3157,386,,22125,354,77,3080,1478
5/11/2020,409457,11801,1311,,23968,1843,162,11616,4023
